mTitle,mLink
Before the Bat's Flight Is Done,https://en.wikipedia.org/wiki/Before_the_Bat%27s_Flight_Is_Done
Before I Forget,https://en.wikipedia.org/wiki/Before_I_Forget_(film)
Before Night Falls,https://en.wikipedia.org/wiki/Before_Night_Falls_(film)
Before Stonewall,https://en.wikipedia.org/wiki/Before_Stonewall
Beginners,https://en.wikipedia.org/wiki/Beginners
Behind the Candelabra,https://en.wikipedia.org/wiki/Behind_the_Candelabra
Being 17,https://en.wikipedia.org/wiki/Being_17
Being at Home with Claude,https://en.wikipedia.org/wiki/Being_at_Home_with_Claude
Being John Malkovich,https://en.wikipedia.org/wiki/Being_John_Malkovich
Being Julia,https://en.wikipedia.org/wiki/Being_Julia
Beloved/Friend,https://en.wikipedia.org/wiki/Beloved/Friend
Below Her Mouth,https://en.wikipedia.org/wiki/Below_Her_Mouth
Below the Belt,NA
Ben and Arthur,https://en.wikipedia.org/wiki/Ben_and_Arthur
Bent,https://en.wikipedia.org/wiki/Bent_(film)
Bent Out of Shape,NA
Benzina,https://en.wikipedia.org/wiki/Gasoline_(film)
The Berlin Affair,https://en.wikipedia.org/wiki/The_Berlin_Affair
Best Day Ever,NA
The Best Day of My Life,https://en.wikipedia.org/wiki/The_Best_Day_of_My_Life
Best in Show,https://en.wikipedia.org/wiki/Best_in_Show_(film)
The Best Way to Walk,https://en.wikipedia.org/wiki/The_Best_Way_to_Walk
Better Than Chocolate,https://en.wikipedia.org/wiki/Better_Than_Chocolate
Between Love & Goodbye,NA
Between Something & Nothing,NA
Between Two Women,https://en.wikipedia.org/wiki/Between_Two_Women_(2000_film)
Beyond Gay: The Politics of Pride,https://en.wikipedia.org/wiki/Beyond_Gay:_The_Politics_of_Pride
Beyond Hatred,https://en.wikipedia.org/wiki/Beyond_Hatred
Beyond Therapy,https://en.wikipedia.org/wiki/Beyond_Therapy_(film)
Beyond the Valley of the Dolls,https://en.wikipedia.org/wiki/Beyond_the_Valley_of_the_Dolls
Beyond the Walls,https://en.wikipedia.org/wiki/Beyond_the_Walls_(2012_film)
Bi.sex.u.al,NA
BIdentity Crisis,NA
"Big Bang Love, Juvenile A","https://en.wikipedia.org/wiki/Big_Bang_Love,_Juvenile_A"
The Big Brass Ring,https://en.wikipedia.org/wiki/The_Big_Brass_Ring
Big Daddy,https://en.wikipedia.org/wiki/Big_Daddy_(1999_film)
Big Eden,https://en.wikipedia.org/wiki/Big_Eden
Big Gay Love,https://en.wikipedia.org/wiki/Big_Gay_Love
The Big Gay Musical,https://en.wikipedia.org/wiki/The_Big_Gay_Musical
Bilitis,https://en.wikipedia.org/wiki/Bilitis_(film)
Billy's Dad Is a Fudge-Packer,https://en.wikipedia.org/wiki/Billy%27s_Dad_Is_a_Fudge-Packer
Billy's Hollywood Screen Kiss,https://en.wikipedia.org/wiki/Billy%27s_Hollywood_Screen_Kiss
Billy Elliot,https://en.wikipedia.org/wiki/Billy_Elliot
Bilog,NA
The Birdcage,https://en.wikipedia.org/wiki/The_Birdcage
Birthday Cake,NA
Bishonen,https://en.wikipedia.org/wiki/Bishonen_(film)
Bite Marks,NA
The Bitter Tears of Petra von Kant,https://en.wikipedia.org/wiki/The_Bitter_Tears_of_Petra_von_Kant
Black Bread,https://en.wikipedia.org/wiki/Black_Bread
Black Swan,https://en.wikipedia.org/wiki/Black_Swan_(film)
Blackbird,https://en.wikipedia.org/wiki/Blackbird_(2014_film)
Blackmail Boy,NA
Blackmail Boys,NA
Blessing,NA
Blind Faith,https://en.wikipedia.org/wiki/Blind_Faith_(1998_film)
Blinders,NA
Blokes,NA
Blonde Cobra,https://en.wikipedia.org/wiki/Blonde_Cobra
The Blood Spattered Bride,https://en.wikipedia.org/wiki/The_Blood_Spattered_Bride
Bloomington,https://en.wikipedia.org/wiki/Bloomington_(film)
The Blossoming of Maximo Oliveros,https://en.wikipedia.org/wiki/The_Blossoming_of_Maximo_Oliveros
Blow Dry,https://en.wikipedia.org/wiki/Blow_Dry
Blue,https://en.wikipedia.org/wiki/Blue_(1993_film)
Blue,https://en.wikipedia.org/wiki/Blue_(2001_film)
Blue and Not So Pink,https://en.wikipedia.org/wiki/Blue_and_Not_So_Pink
Blue Citrus Hearts,NA
Blue Gate Crossing,https://en.wikipedia.org/wiki/Blue_Gate_Crossing
Blue Is the Warmest Colour,https://en.wikipedia.org/wiki/Blue_Is_the_Warmest_Colour
Boat Trip,https://en.wikipedia.org/wiki/Boat_Trip_(film)
Bobbie's Girl,https://en.wikipedia.org/wiki/Bobbie%27s_Girl
Body Without Soul,https://en.wikipedia.org/wiki/Body_Without_Soul
Boiler-house № 6,NA
Bol,https://en.wikipedia.org/wiki/Bol_(film)
Bollywood and Vine,NA
Bombay Boys,https://en.wikipedia.org/wiki/Bombay_Boys
Bomgay,https://en.wikipedia.org/wiki/Bomgay
Bongja,https://en.wikipedia.org/wiki/Bongja
Bonsoir,https://en.wikipedia.org/wiki/Bonsoir
Boogie Nights,https://en.wikipedia.org/wiki/Boogie_Nights
Boogie Woogie,https://en.wikipedia.org/wiki/Boogie_Woogie_(film)
The Book Club,NA
Bookends,NA
Booking,NA
The Boondock Saints,https://en.wikipedia.org/wiki/The_Boondock_Saints
Born in 68,https://en.wikipedia.org/wiki/Born_in_68
Born in Flames,https://en.wikipedia.org/wiki/Born_in_Flames
Borstal Boy,https://en.wikipedia.org/wiki/Borstal_Boy_(film)
Boulevard,https://en.wikipedia.org/wiki/Boulevard_(2014_film)
Bound,https://en.wikipedia.org/wiki/Bound_(1996_film)
Bowser Makes a Movie,NA
Boy,https://en.wikipedia.org/wiki/Boy_(2009_film)
Boy Culture,https://en.wikipedia.org/wiki/Boy_Culture_(film)
"Boy, Girl","https://en.wikipedia.org/wiki/Boy,_Girl"
Boy Meets Boy,https://en.wikipedia.org/wiki/Boy_Meets_Boy_(film)
Boy Meets Girl,https://en.wikipedia.org/wiki/Boy_Meets_Girl_(2014_film)
A Boy Named Sue,https://en.wikipedia.org/wiki/A_Boy_Named_Sue_(film)
The Boy with the Sun in His Eyes,NA
Boyfriends,https://en.wikipedia.org/wiki/Boyfriends_(film)
Boygame,NA
Boy's Choir,NA
Boys,NA
Boys Don't Cry,https://en.wikipedia.org/wiki/Boys_Don%27t_Cry_(film)
Boys Love,https://en.wikipedia.org/wiki/Boys_Love_(film)
"Boys Love, the Movie","https://en.wikipedia.org/wiki/Boys_Love,_the_Movie"
Boys in Brazil,https://en.wikipedia.org/wiki/Do_Lado_de_Fora
The Boys in the Band,https://en.wikipedia.org/wiki/The_Boys_in_the_Band
Boys in the Sand,https://en.wikipedia.org/wiki/Boys_in_the_Sand
The Boys of San Francisco,NA
Boys on the Side,https://en.wikipedia.org/wiki/Boys_on_the_Side
Boys Village,NA
Boystown,https://en.wikipedia.org/wiki/Boystown_(film)
Brace,NA
[2],NA
The Brandon Teena Story,https://en.wikipedia.org/wiki/The_Brandon_Teena_Story
Bramadero,NA
Breakfast?,NA
Breakfast on Pluto,https://en.wikipedia.org/wiki/Breakfast_on_Pluto_(film)
Breakfast with Scot,https://en.wikipedia.org/wiki/Breakfast_with_Scot
Breaking the Girls,https://en.wikipedia.org/wiki/Breaking_the_Girls
Breaking the Surface: The Greg Louganis Story,https://en.wikipedia.org/wiki/Breaking_the_Surface:_The_Greg_Louganis_Story
Breath,NA
Bridegroom,https://en.wikipedia.org/wiki/Bridegroom_(film)
Brideshead Revisited,https://en.wikipedia.org/wiki/Brideshead_Revisited_(film)
Bridget Jones: The Edge of Reason,https://en.wikipedia.org/wiki/Bridget_Jones:_The_Edge_of_Reason_(film)
Broadway Damage,https://en.wikipedia.org/wiki/Broadway_Damage
Broderskab,https://en.wikipedia.org/wiki/Brotherhood_(2009_film)
Brokeback Mountain,https://en.wikipedia.org/wiki/Brokeback_Mountain
Broken Embraces,https://en.wikipedia.org/wiki/Broken_Embraces
The Broken Hearts Club: A Romantic Comedy,https://en.wikipedia.org/wiki/The_Broken_Hearts_Club:_A_Romantic_Comedy
Broken Sky,https://en.wikipedia.org/wiki/Broken_Sky_(film)
The Broken Tower,https://en.wikipedia.org/wiki/The_Broken_Tower_(film)
Brother to Brother,https://en.wikipedia.org/wiki/Brother_to_Brother_(film)
Brotherhood,https://en.wikipedia.org/wiki/Brotherhood_(2009_film)
The Brothers Sinclair,NA
Brüno,https://en.wikipedia.org/wiki/Br%C3%BCno
The Bubble,https://en.wikipedia.org/wiki/The_Bubble_(2006_film)
Buddies,https://en.wikipedia.org/wiki/Buddies_(1985_film)
Buddy,https://en.wikipedia.org/wiki/Buddy_(2013_film)
Buffering,NA
Buffering,NA
Bugcrush,NA
Bugis Street,https://en.wikipedia.org/wiki/Bugis_Street_(film)
Bulgarian Lovers,https://en.wikipedia.org/wiki/Bulgarian_Lovers
Bully,https://en.wikipedia.org/wiki/Bully_(2001_film)
Bungee Jumping of Their Own,https://en.wikipedia.org/wiki/Bungee_Jumping_of_Their_Own
Burger,NA
Burlesk King,https://en.wikipedia.org/wiki/Burlesk_King
Burlesque,https://en.wikipedia.org/wiki/Burlesque_(2010_musical_film)
Burned,NA
Burning Blue,https://en.wikipedia.org/wiki/Burning_Blue_(film)
Burnt Money,https://en.wikipedia.org/wiki/Plata_Quemada
The Business of Fancydancing,https://en.wikipedia.org/wiki/The_Business_of_Fancydancing
But I'm a Cheerleader,https://en.wikipedia.org/wiki/But_I%27m_a_Cheerleader
Butch Camp,https://en.wikipedia.org/wiki/Butch_Camp
The Butch Factor: What Kind of Man Are You?,https://en.wikipedia.org/wiki/The_Butch_Factor
The Butcher's Wife,https://en.wikipedia.org/wiki/The_Butcher%27s_Wife
Butch Jamie,https://en.wikipedia.org/wiki/Butch_Jamie
Butley,https://en.wikipedia.org/wiki/Butley_(film)
Butterfly,https://en.wikipedia.org/wiki/Butterfly_(2004_film)
Butterfly Kiss,https://en.wikipedia.org/wiki/Butterfly_Kiss
By Hook or by Crook,https://en.wikipedia.org/wiki/By_Hook_or_by_Crook_(2001_film)
Cabaret,https://en.wikipedia.org/wiki/Cabaret_(1972_film)
Cachorro,https://en.wikipedia.org/wiki/Cachorro
Cage Without a Key,https://en.wikipedia.org/wiki/Cage_Without_a_Key
Caged,https://en.wikipedia.org/wiki/Caged
Caged,NA
Cake and Sand,NA
Cal,https://en.wikipedia.org/wiki/Cal_(2013_film)
Caligula,https://en.wikipedia.org/wiki/Caligula_(film)
Call Me by Your Name,https://en.wikipedia.org/wiki/Call_Me_by_Your_Name_(film)
Call Me Kuchu,https://en.wikipedia.org/wiki/Call_Me_Kuchu
Call Me Malcolm,NA
Camellia Project: Three Queer Stories at Bogil Island,NA
Camp,https://en.wikipedia.org/wiki/Camp_(2003_film)
Campaign of Hate: Russia and Gay Propaganda,https://en.wikipedia.org/wiki/Campaign_of_Hate:_Russia_and_Gay_Propaganda
Camping Cosmos,https://en.wikipedia.org/wiki/Camping_Cosmos
Candy Boy,NA
Candy Rain,https://en.wikipedia.org/wiki/Candy_Rain_(film)
Can't Stop the Music,https://en.wikipedia.org/wiki/Can%27t_Stop_the_Music
The Canyons,https://en.wikipedia.org/wiki/The_Canyons_(film)
Capital Games,https://en.wikipedia.org/wiki/Capital_Games
Capote,https://en.wikipedia.org/wiki/Capote_(film)
Cappuccino,NA
Caramel,https://en.wikipedia.org/wiki/Caramel_(film)
Carandiru,https://en.wikipedia.org/wiki/Carandiru_(film)
Caravaggio,https://en.wikipedia.org/wiki/Caravaggio_(1986_film)
Carícies,https://en.wikipedia.org/wiki/Caresses
Carmelita Tropicana,NA
Carmen from Kawachi,https://en.wikipedia.org/wiki/Carmen_from_Kawachi
Carol (film),https://en.wikipedia.org/wiki/Carol_(film)
Carrington,https://en.wikipedia.org/wiki/Carrington_(film)
Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof_(film)
The Celluloid Closet,https://en.wikipedia.org/wiki/The_Celluloid_Closet
Center of My World,https://en.wikipedia.org/wiki/Center_of_My_World
Ceux qui m'aiment prendront le train,https://en.wikipedia.org/wiki/Those_Who_Love_Me_Can_Take_the_Train
Chacun sa nuit,NA
Chance,NA
Change of Life,NA
Change of Sex,https://en.wikipedia.org/wiki/Change_of_Sex
Changing Times,https://en.wikipedia.org/wiki/Changing_Times_(film)
Chanthupottu,https://en.wikipedia.org/wiki/Chanthupottu
Chasing Amy,https://en.wikipedia.org/wiki/Chasing_Amy
Chateau de Roses,NA
Cheerleader Queens,https://en.wikipedia.org/wiki/Cheerleader_Queens
The Chef's Letter,NA
Chef's Special,https://en.wikipedia.org/wiki/Chef%27s_Special
Cheila: una casa pa' Maíta,https://en.wikipedia.org/wiki/Cheila_(film)
Chelsea Girls,https://en.wikipedia.org/wiki/Chelsea_Girls
Chez Nous,NA
Chicken,https://en.wikipedia.org/wiki/Chicken_(short_film)
Chicken Tikka Masala,NA
Children of God,https://en.wikipedia.org/wiki/Children_of_God_(film)
The Children's Hour,https://en.wikipedia.org/wiki/The_Children%27s_Hour_(film)
The Chinese Botanist's Daughters,https://en.wikipedia.org/wiki/The_Chinese_Botanist%27s_Daughters
Chinese Characters,NA
Chitrangada: The Crowning Wish,https://en.wikipedia.org/wiki/Chitrangada:_The_Crowning_Wish
Chloe,https://en.wikipedia.org/wiki/Chloe_(film)
A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line_(film)
Chouchou,https://en.wikipedia.org/wiki/Chouchou_(film)
Chris & Don: A Love Story,https://en.wikipedia.org/wiki/Chris_%26_Don
Christopher and His Kind,https://en.wikipedia.org/wiki/Christopher_and_His_Kind_(television_film)
Chuck & Buck,https://en.wikipedia.org/wiki/Chuck_%26_Buck
Chuecatown,https://en.wikipedia.org/wiki/Boystown_(film)
